,City,Lat,Lng,Max Temp(F),Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.73,-155.09,84.2,58,1,11.41,US,1607303597
1,Glendive,47.11,-104.71,36.0,66,1,9.17,US,1607304253
2,Puerto Ayora,-0.74,-90.35,72.0,91,72,3.0,EC,1607303963
3,Norman Wells,65.28,-126.83,1.4,84,90,3.36,CA,1607304161
4,Coquimbo,-29.95,-71.34,57.2,82,75,8.05,CL,1607303908
5,Clyde River,70.47,-68.59,3.2,91,90,2.24,CA,1607303881
6,Channel-Port aux Basques,47.57,-59.14,43.93,87,100,15.77,CA,1607304258
7,Nikolskoye,59.7,30.79,28.99,58,0,8.95,RU,1607303957
8,Formosa do Rio Preto,-11.05,-45.19,73.06,65,0,1.28,BR,1607304260
9,George Town,5.41,100.34,80.6,88,20,1.12,MY,1607303888
10,Ushuaia,-54.8,-68.3,50.0,93,75,9.17,AR,1607303876
11,Lhokseumawe,5.18,97.15,77.83,85,99,4.47,ID,1607304265
12,Airai,-8.93,125.41,70.39,87,100,1.9,TL,1607303942
13,Namatanai,-3.67,152.43,84.81,72,38,8.93,PG,1607303994
14,Busselton,-33.65,115.33,66.99,63,0,4.0,AU,1607303887
15,Lompoc,34.64,-120.46,53.6,87,1,8.05,US,1607304167
16,Atuona,-9.8,-139.03,78.33,76,6,14.97,PF,1607303908
17,Upata,8.01,-62.4,78.01,87,81,4.0,VE,1607304271
18,Bredasdorp,-34.53,20.04,62.6,93,100,21.92,ZA,1607304163
19,Mitsamiouli,-11.38,43.28,80.91,74,9,9.37,KM,1607303974
20,Mataura,-46.19,168.86,66.99,59,78,5.99,NZ,1607303888
21,Port Elizabeth,-33.92,25.57,66.2,93,90,14.99,ZA,1607304151
22,Rikitea,-23.12,-134.97,76.77,79,0,13.94,PF,1607303886
23,Lebu,-37.62,-73.65,53.02,94,100,8.95,CL,1607304162
24,Shediac,46.22,-64.54,35.6,100,90,13.87,CA,1607304279
25,Qaanaaq,77.48,-69.36,-1.7,71,100,2.51,GL,1607303878
26,Klaksvík,62.23,-6.59,39.2,72,54,11.41,FO,1607303880
27,Taltal,-25.4,-70.48,61.27,71,21,5.3,CL,1607304020
28,San Rafael,-34.62,-68.33,76.17,27,0,14.23,AR,1607303891
29,Ayan,56.45,138.17,6.51,83,7,10.18,RU,1607304284
30,Upernavik,72.79,-56.15,20.17,97,100,4.27,GL,1607304154
31,New Norfolk,-42.78,147.06,60.8,38,40,11.41,AU,1607303877
32,Port Keats,-14.25,129.55,89.96,61,78,5.06,AU,1607304147
33,Kapaa,22.08,-159.32,82.4,65,75,8.05,US,1607303907
34,Mehamn,71.04,27.85,28.63,92,100,4.88,NO,1607304163
35,Mae Sot,16.72,98.57,64.4,82,20,2.24,TH,1607304291
36,La Ronge,55.1,-105.28,28.4,63,0,2.24,CA,1607304292
37,Whitehorse,60.72,-135.05,27.0,92,40,24.16,CA,1607304293
38,Walvis Bay,-22.96,14.51,61.0,86,0,2.64,NA,1607304295
39,Paulo Afonso,-9.41,-38.21,77.25,67,0,12.53,BR,1607304087
40,Hobart,-42.88,147.33,60.8,38,40,11.41,AU,1607303819
41,Kenai,60.55,-151.26,28.0,62,90,16.11,US,1607304027
42,Punta Arenas,-53.15,-70.92,60.8,63,100,20.8,CL,1607303663
43,Tuktoyaktuk,69.45,-133.04,-4.0,76,75,6.93,CA,1607303957
44,Mareeba,-17.0,145.43,91.99,52,92,10.29,AU,1607304301
45,Saint Paul Harbor,57.79,-152.41,42.8,87,90,18.34,US,1607303663
46,Nome,64.5,-165.41,17.6,44,1,10.29,US,1607303904
47,Cape Town,-33.93,18.42,69.01,77,0,4.7,ZA,1607303619
48,Kargasok,59.06,80.86,14.31,94,100,16.62,RU,1607304308
49,Ganzhou,28.82,115.43,49.5,66,0,4.12,CN,1607304310
50,Jamestown,42.1,-79.24,28.0,85,90,5.82,US,1607303757
51,Yellowknife,62.46,-114.35,17.6,92,90,3.36,CA,1607303877
52,Tomioka,36.25,138.9,55.0,56,0,2.59,JP,1607304314
53,Kaeo,-35.1,173.78,78.01,65,100,5.99,NZ,1607304216
54,Kahului,20.89,-156.47,87.8,48,40,9.17,US,1607303883
55,Kehychivka,49.29,35.76,18.12,88,0,17.07,UA,1607304317
56,Naze,28.37,129.48,73.4,94,75,10.29,JP,1607303963
57,Hong Kong,22.29,114.16,68.0,62,0,1.01,HK,1607304046
58,Noumea,-22.28,166.46,91.4,46,20,12.75,NC,1607304064
59,Geraldton,-28.77,114.6,86.0,17,0,14.99,AU,1607303957
60,Bluff,-46.6,168.33,66.99,61,1,5.01,NZ,1607304142
61,Ribeira Grande,38.52,-28.7,60.42,64,85,4.43,PT,1607303952
62,Barrow,71.29,-156.79,1.4,70,1,9.17,US,1607304177
63,Port Alfred,-33.59,26.89,69.04,89,100,27.11,ZA,1607304143
64,Burns Lake,54.23,-125.75,33.8,88,100,2.24,CA,1607304329
65,São Filipe,14.9,-24.5,75.47,75,77,13.82,CV,1607304161
66,Mogadishu,2.04,45.34,79.03,76,0,10.11,SO,1607304331
67,Mount Isa,-20.73,139.5,93.2,18,83,10.29,AU,1607304221
68,Luanda,-8.84,13.23,77.0,88,75,8.05,AO,1607304117
69,Chicama,-7.84,-79.15,68.0,81,69,5.17,PE,1607304335
70,Sibolga,1.74,98.78,80.01,74,100,1.72,ID,1607304336
71,Acajutla,13.59,-89.83,78.8,57,0,2.01,SV,1607304337
72,Saldanha,-33.01,17.94,59.0,87,33,6.93,ZA,1607304016
73,Castro,-24.79,-50.01,59.76,97,100,8.3,BR,1607304158
74,Santiago del Estero,-27.8,-64.26,71.44,45,0,9.57,AR,1607304078
75,Imbituba,-28.24,-48.67,66.2,93,90,9.17,BR,1607304343
76,Boende,-0.22,20.87,70.83,98,94,2.24,CD,1607304344
77,Carutapera,-1.2,-46.02,79.54,78,99,7.4,BR,1607304055
78,Dikson,73.51,80.55,-5.03,93,50,10.67,RU,1607303957
79,Albany,42.6,-73.97,30.99,58,15,3.0,US,1607303924
80,Mahébourg,-20.41,57.7,75.2,83,20,8.05,MU,1607304179
81,Sehithwa,-20.47,22.72,72.93,67,22,9.51,BW,1607304350
82,Vaini,-21.2,-175.2,82.4,83,75,12.75,TO,1607303888
83,Fukuechō,32.69,128.84,57.2,62,75,11.41,JP,1607304353
84,Barguzin,53.62,109.62,7.63,88,73,6.42,RU,1607304355
85,Provideniya,64.38,-173.3,17.6,72,20,6.71,RU,1607304147
